AVG_length=38.900324		
AVG_width=9.945946		
AVG_ar=3.951307		
		
STD_length=5.476710		
STD_width=1.846596		
STD_ar=0.365072		
Index	Length	Width
681	37.07262068	8.885406244
682	42.63112067	11.20217234
683	40.11641394	10.32507195
684	40.03842134	8.092125116
685	38.73446726	9.700479546
686	38.74784004	8.635556584
687	34.87328585	7.651746159
688	44.44319451	10.78132328
689	41.82459062	9.866793061
690	38.32940782	10.38716565
691	39.81082599	9.980039089
692	37.81025927	10.15874178
693	44.9544701	10.63337651
694	32.76185872	8.895000754
695	47.11827464	10.83151595
696	36.61324994	9.72434092
697	41.10778142	9.915863703
698	32.02720944	8.682075074
699	45.20971447	9.804755571
700	37.41535015	9.921580025
701	41.52400705	11.33763832
702	35.53792373	9.547780285
703	44.7788046	10.11035602
704	44.20190996	12.00545703
705	37.92633015	7.912687585
706	39.14059253	10.3114806
707	34.49655405	8.021332557
708	28.42370172	7.54654118
709	36.13515648	9.545135498
710	48.80195399	12.66660807
711	41.11711989	10.12958459
712	39.58269356	10.75344736
713	31.087522	7.331206984
714	34.66729428	9.47619096
715	31.02394718	7.215768416
716	29.13570638	7.417717865
717	35.383862	9.336143171
718	35.8466592	9.756406235
719	46.74630991	13.27468539
720	46.9680682	14.47222451
721	36.99723019	8.778337632
722	32.63982172	8.542493063
723	39.39976712	10.5795669
724	41.96749449	11.35757883
725	30.88597484	8.343738488
726	37.83964441	9.374686706
727	37.50585371	8.067149517
728	34.84627384	7.706117305
729	37.10555302	9.422408412
730	41.14177959	10.79211684
731	41.51966048	10.91237192
732	41.25803366	10.4585874
733	41.25788794	10.48121849
734	35.90056249	9.13407975
735	43.62593543	10.5962121
736	38.80325463	9.151710625
737	32.33317418	8.742911429
738	40.61502454	8.698269062
739	34.77210738	8.973448208
740	33.11667032	8.809205975
741	40.22317134	10.52918688
742	45.27448001	14.04934372
743	40.44077875	10.17995525
744	34.23052446	8.040361808
745	43.51568912	8.528533769
746	37.58064884	9.869664753
747	43.52125139	10.02706447
748	36.03416953	9.678574961
749	40.64448462	10.90545758
750	34.19323722	9.1717063
751	39.58816008	9.65642786
752	30.07313935	7.389399072
753	45.01304887	13.17350796
754	38.20829925	10.31396093
755	45.12283304	14.14500363
756	42.61430894	11.30796591
757	43.05103921	11.64153907
758	41.68973873	10.48372901
759	19.37244202	5.184174625
760	43.23652614	10.03233635
761	38.60420758	9.933396739
762	40.68355794	11.07950041
763	29.85417677	8.129447739
764	31.77548938	8.215514179
765	37.35982731	8.399480947
766	28.98963626	7.5745243
767	39.04035914	8.25571578
768	45.74365551	16.27152301
769	37.42938907	10.0326205
770	44.74339088	11.21677643
771	39.00091528	9.930381411
772	47.63734825	13.6816756
773	34.97479739	7.181797834
774	34.80351801	9.306445779
775	44.80045417	9.486474509
776	38.00164154	9.292621274
777	46.24152086	11.43088035
778	35.4906194	8.765381192
779	33.95786259	9.17028971
780	38.14779701	10.38780264
781	32.24849727	8.809558822
782	32.81308287	8.165606177
783	32.57003514	8.836265866
784	28.56543152	7.052156415
785	41.70417734	11.4165094
