35	14.5	15.4	18.5	24.4	0	8.4	8.0	36.0	7.3	2	847.0	182.02	0.059	2.71	[[0.00469, 0.5, 2.3969999999999985, 2.450565, 1.3154999999999997, 0.0022250000000000013], [0.041085, 14.0, 1.562749999999994, 0.11806999999999998, 1.3154999999999997, 0.0022250000000000013]]
36	13.1	18.5	16.7	11.2	0	10.1	14.2	39.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
37	14.7	15.8	18.6	24.7	0	8.5	7.6	36.0	6.8	2	853.5	173.57	0.05	2.36	[[0.0023200000000000026, 0.5, 2.4792500000000004, 0.15711000000000008, 2.5965000000000003, 0.0020550000000000013], [0.041865, 9.5, 5.170000000000002, 52.755964999999996, 2.5965000000000003, 0.0020550000000000013]]
38	12.5	16.8	25.4	19.0	0	7.7	13.3	39.0	6.62	2	827.5	178.6	0.062	2.71	[[0.0007749999999999979, 0.0, 2.514499999999998, 0.446645, 1.0300000000000002, 0.0031750000000000007], [0.020735000000000003, 4.5, 0.37599999999999056, 0.17861500000000002, 1.0300000000000002, 0.0031750000000000007]]
39	14.5	15.8	18.2	24.3	0	8.6	8.4	37.0	9.01	2	862.5	184.65	0.049	3.54	[[0.005589999999999998, 0.5, 0.03524999999999778, 0.29640999999999995, 0.39450000000000074, 0.0035099999999999992], [0.0026449999999999946, 9.5, 6.21575, 0.03727, 0.39450000000000074, 0.0035099999999999992]]
40	5.5	7.9	17.3	23.5	0	10.5	5.9	34.0	1.49	1	539.0	144.14	0.025	1.33	[[0.0010749999999999996, 0.0, 1.5627500000000083, 0.7180149999999994, 0.15649999999999997, 0.001259999999999999]]
41	14.6	15.1	20.0	23.9	0	8.6	7.8	37.0	4.84	2	847.0	167.16	0.023	3.49	[[0.00995, 1.0, 4.805750000000003, 0.55236, 1.2755, 0.0023349999999999985], [0.005659999999999998, 0.0, 1.7390000000000043, 48.446895000000005, 1.2755, 0.0023349999999999985]]
42	9.1	19.6	20.3	21.8	0	11.1	16.1	31.0	4.44	2	810.0	158.91	0.042	1.76	[[0.006839999999999999, 2.5, 1.9739999999999966, 3.3720949999999994, 0.5859999999999999, 0.003459999999999998], [0.002939999999999998, 6.0, 4.747, 0.047904999999999975, 0.5859999999999999, 0.003459999999999998]]
43	14.8	16.0	20.3	24.7	0	8.7	8.0	37.0	7.41	2	867.5	182.37	0.043	3.12	[[0.00434, 3.5, 7.578749999999999, 2.58402, 2.0510000000000006, 0.01064], [0.038849999999999996, 19.5, 15.47475, 0.08983, 2.0510000000000006, 0.01064]]
44	5.3	16.1	24.1	17.1	0	11.8	17.4	31.0	1.13	1	525.0	117.31	0.022	1.29	[[0.0018150000000000006, 0.0, 0.6814999999999998, 0.18169499999999994, 0.13749999999999996, 0.002239999999999999]]
45	14.7	15.6	19.7	24.6	0	8.5	8.1	36.0	7.84	2	857.5	189.33	0.052	2.37	[[0.0012850000000000014, 0.5, 2.9492499999999993, 1.7990449999999998, 1.1879999999999997, 0.004040000000000002], [0.01672, 7.5, 3.325249999999997, 0.06359000000000001, 1.1879999999999997, 0.004040000000000002]]
46	8.0	6.2	16.6	14.0	0	10.8	9.4	39.0	0	0	0	800	0	0	[0, 0, 0, 0, 0, 0]
47	14.7	15.5	20.5	24.1	0	8.7	8.5	37.0	8.06	2	864.0	186.05	0.037	3.66	[[0.004144999999999999, 1.0, 2.244250000000001, 0.8734199999999999, 1.9895, 0.01066], [0.03976999999999999, 2.0, 3.5719999999999885, 0.11346, 1.9895, 0.01066]]
48	8.4	13.8	13.4	20.0	0	9.6	16.3	37.0	2.61	2	803.5	171.69	0.041	1.35	[[0.00179, 0.0, 1.3042499999999961, 1.853775, 0.39049999999999985, 0.0002149999999999999], [0.008320000000000001, 0.5, 3.102000000000004, 1447.380935, 0.39049999999999985, 0.0002149999999999999]]
49	14.3	15.6	19.4	24.8	0	8.4	7.9	36.0	5.31	2	836.5	169.39	0.047	2.42	[[0.003210000000000001, 0.5, 1.4922500000000056, 0.18415500000000007, 0.23599999999999977, 0.000955000000000001], [0.00028500000000000053, 12.5, 3.242999999999995, 0.00462499999999999, 0.23599999999999977, 0.000955000000000001]]
50	9.9	12.8	16.0	17.6	0	7.8	18.5	40.0	5.16	2	797.0	178.69	0.051	2.15	[[0.0021650000000000037, 2.5, 5.04075000000001, 1.692625, 0.09799999999999986, 0.0038399999999999997], [0.0007149999999999934, 4.0, 2.021000000000001, 0.011075000000000002, 0.09799999999999986, 0.0038399999999999997]]
